Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december

hey,hay
serial,cereal
sign,sin
the,thee
cache,cash
erik,eric
migrate,my great
site,sight
add,ad
close,clothes
pool,Pool
bytes,bites
config,can fig
nil,nill
sync,sink
sensor,censor
max,macs
aurora,Arora
prometheus,Prometheus
yeah,ya
byte,bite
queue,cue
queues,cues
queue,cu
Hilary,Hillary
mail,male
when,wen
catalog,catalogue
IDs,ides
wait,weight
holiday,holliday
read,reed
time zone,timezone
sale,sail
sales,sails
see,se
mail,male
harold,herald
file name,filename
key,ki
